country,description,price,province,title,variety,winery
Slovenia,"Ravan is the local Slovenian name for the Friulano grape. This tasty wine is medium gold to dark straw in color with aromas of honeysuckle, passion fruit and freshly baked apple pie. The finish is pleasantly astringent with lingering flavors of hazelnut. It's perfect to pair with game birds such as duck or quail.",25.0,Goriska Brda,Kabaj 2011 Ravan Sauvignonasse (Goriska Brda),Sauvignonasse,Kabaj
Croatia,"Aromas include black cherry, cranberry, pomegranate, bramble and a light touch of eucalyptus. It's fruit forward and juicy on the lips yet pleasantly restrained in the midpalate. It would be an enjoyable wine at a barbecue.",18.0,Istria,Kozlović 2011 Teran (Istria),Teran,Kozlović
Slovenia,"This wine has aromas of freshly mowed grass, peaches and white flowers. It is slightly sweet with flavors of canned peach, white peach juice and apricot nectar.",11.0,Štajerska,Puklavec & Friends 2013 Moscato (Štajerska),Moscato,Puklavec & Friends
Slovenia,"Soft straw to the eye with pleasing aromas of vanilla and caramel with soft citrus undertones, this wine offers flavors of white peach and green fig. It is somewhat full in the mouth, with a hint of tart nectarine on the finish.",24.0,Slovenia,Vino Kupljen 2013 Selection Mon Royal Pinot Gris (Slovenia),Pinot Gris,Vino Kupljen
Bulgaria,"This garnet colored Bulgarian Cabernet Sauvignon has aromas of dark cherry and mocha with flavors of cherry cola, black raspberry and black cherry with a smooth silky tannic finish.",17.0,Thracian Valley,Minkov Brothers 2013 Tradition Since 1875 Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Minkov Brothers
Bulgaria,"Pale straw in color, this wine has aromas of lemon peel, dried herb and lemon blossom. It's zesty on the palate, with flavors of lemon peel and green apple.",9.0,Thracian Valley,Vini 2013 Veni Vidi Vici Sauvignon Blanc (Thracian Valley),Sauvignon Blanc,Vini
Serbia,"This aged Riesling is medium gold colored, with pleasant aromas of lemon peel and petrol. It is round and generous on the palate, with flavors of lemon custard and green olive tapenade. The finish is long, with lingering flavors of lemon pith.",22.0,Župa,Budimir 2008 Margus Margi Riesling (Župa),Riesling,Budimir
Slovenia,"An easy-drinking wine, it has pronounced aromas and flavors of cherry vanilla soda, blackberry preserves and just a touch of menthol.",18.0,Slovenska Istra,Klabjan 2008 Refosk Refosco (Slovenska Istra),Refosco,Klabjan
Czech Republic,"This deep straw-colored wine has a nose of mango, caramelized pineapple and canned apricots. A strong backbone of minerality runs through the core, bolstering flavors of peach and tropical fruit.",40.0,Moravia,Sonberk 2010 Ryzlink Rýnský (Moravia),Ryzlink Rýnský,Sonberk
Slovenia,"Dark straw in the glass, this wine has a bouquet of apricot, canned peaches, and tropical fruit. Dry on the palate, it offers flavors of peach juice and apricot nectar that linger into the Mediteranean herb-laden finish.",29.0,Slovenia,Vino Kupljen 2013 Renski Rizling Selection Mon Royal Riesling (Slovenia),Riesling,Vino Kupljen
Slovenia,"Dark cherry to garnet in color, it offers notes of blackberry, pomegranate and black cherry in its bouquet. A strong acidic backbone and persistent cranberry flavor at the finish make this a wine that calls out for food.",15.0,Štajerska,Pullus 2011 Dry Red Pinot Noir (Štajerska),Pinot Noir,Pullus
Macedonia,"This garnet-colored Pinot Noir is named after Alexander the Great—The Macedon. It has aromas of cherry and vanilla and bright top notes of fresh red raspberry. Medium bodied, it delivers fresh flavors of cranberry and cherry in the finish.",15.0,Tikves,Stobi 2011 Macedon Pinot Noir (Tikves),Pinot Noir,Stobi
Croatia,"This wine is rich garnet colored, with flavors of pomegranate, dark plum and cranberry that excite the palate. Fruit forward, well-structured and thoroughly enjoyable.",25.0,North Dalmatia,Piližota 2009 Babić (North Dalmatia),Babić,Piližota
Slovenia,"A noble tribute to his Bordeaux training, winemaker Jean Michel Morel's namesake blend is beautifully concentrated with rich, sweet black fruit, with hints of violet, savory mushroom, cured meat and clay. A textured and powerful wine with vibrant acidity, it finishes long, with a swathe of velvety tannins.",40.0,Goriska Brda,Kabaj 2006 Cuvée Morel Red (Goriska Brda),Bordeaux-style Red Blend,Kabaj
Bulgaria,"Aromatically, this Bulgarian Riesling is quite pretty with loads of freshly pressed apples, elderflowers and Meyer lemon scents. Light bodied and dry with a racy acidity, its palate is austere but has some muted floral and honeydew flavors.",9.0,Bulgaria,Targovishte 2009 Riesling (Bulgaria),Riesling,Targovishte
Slovenia,"Intense aromas of freshly picked mint and dried herb drive the bouquet. On the palate there are flavors of black currant, black plum and tobacco leaf. The finish is long with a pleasant level of acidity.",37.0,Goriska Brda,Kabaj 2009 Merlot (Goriska Brda),Merlot,Kabaj
Bulgaria,"Ripe fruit aromas of red raspberry, red plum and cassis lead the bouquet of this Bulgarian Mavrud, with secondary notes of smoked meats and cocoa powder that add intrigue. The silky mouthfeel has flavors of ripe red fruits followed by a bright acidic finish.",17.0,Thracian Valley,Manastira 2013 Ilaya Reserve Mavrud (Thracian Valley),Mavrud,Manastira
Bulgaria,"A garnet color with a violet rim, this has aromas of black cherry, pomegranate juice and a touch of vanilla, followed by flavors of tart cherry, blackberry and black licorice. The finish boasts pleasant acidity coupled with a bright fruit finish.",10.0,Thracian Valley,Domaine Boyar 2011 Reserve Merlot (Thracian Valley),Merlot,Domaine Boyar
Bulgaria,"Made from the Thracian Valley's indigenous Mavrud grape, this wine has an enticing aroma of leather, blackberry and tobacco. The flavor is savory and spicy—rich with tobacco. Moderately complex with aging potential. Pair with rich, savory meat dishes.",9.0,Thracian Valley,Pulden 2006 Salta Terra Mavrud (Thracian Valley),Mavrud,Pulden
Macedonia,"This white blend offers a full nose of vanilla and spice, followed by full-bodied flavors that are both fruity and spicy. Pair with salads, cheeses or sip alone on a hot day.",15.0,Tikves,Bovin 2007 Symphony White (Tikves),White Blend,Bovin
Macedonia,"Jammy aromas and flavors of blackberry, plum, anise and spice give this smooth Macedonian red a lush, flavorful edge. Integrated and sturdy enough to pair with robust aged cheeses, meats, rich dishes.",16.0,Tikves,Bovin 2007 Vranec (Tikves),Vranec,Bovin
Bulgaria,"This Muscat Ottonel has lemon zest and white floral aromas. A floral touch of violet colors the palate, as well as juicy orange pith. The finish is clean and crisp.",16.0,Thracian Valley,Manastira 2016 Riverside Muskat Ottonel (Thracian Valley),Muskat Ottonel,Manastira
Bulgaria,"This white blend is composed of 60% Chardonnay, 20% Sauvignon Blanc, 10% Riesling and 10% Gewürztraminer. It has aromas of lemon, mint and white peach, with flavors of green apple and white peach.",11.0,Thracian Valley,Bulgariana 2012 White (Thracian Valley),White Blend,Bulgariana
Croatia,"A kaleidescope of scents and flavors, Korta Katarina's premiere bottling is a fascinating study of Plavac Mali at its best. Sweet on the nose and palate with hints of dark chocolate, café au lait, dried herbs and preserved fruit, it's a richly textured wine with a beautifully feminine profile. Big, bold tannins on the finish smooth out considerably with aeration.",57.0,Peljesac,Korta Katarina 2006 Reuben's Private Reserve Plavac Mali (Peljesac),Plavac Mali,Korta Katarina
Bulgaria,"This straw-colored Traminer has aromas of honeysuckle, lime zest and lemon blossom. Flavors of cantaloupe, honeydew melon and kiwi unfold on the palate and carry through to the fruity finish.",12.0,Thracian Valley,Domaine Boyar 2016 Traminer (Thracian Valley),Traminer,Domaine Boyar
Bulgaria,"Mavrud and Rubin are both indigenous Bulgarian grapes. This wine conveys aromas of black cherry, dried cherry and eucalyptus, with flavors of tart cherry, cranberry and pomegranate juice. It is well balanced and has a long finish.",16.0,Thracian Valley,Edoardo Miroglio 2014 Bio Made with Organic Grapes Mavrud and Rubin Red (Thracian Valley),Red Blend,Edoardo Miroglio
Bulgaria,"This blend of 60% Merlot and 40% Mavrud has aromas of cherry cola, red raspberry and a whiff of mint. Flavors recall cherry vanilla and black berry. It's well balanced, with soft sweet tannins and a persistent finish.",16.0,Thracian Valley,Edoardo Miroglio 2014 Sant'ilia Merlot and Mavrud Red (Thracian Valley),Red Blend,Edoardo Miroglio
Slovenia,This sparkling Riesling smells of canned yellow peaches and apricots. It is effervescent on entry with flavors of white peach nectar and white flowers. There is a slight sweetness in the finish.,36.0,Slovenia,Vino Kupljen NV Tradition Rizling Brut Riesling (Slovenia),Riesling,Vino Kupljen
Ukraine,"This ruby-garnet wine has a touch of oxidation on the nose with flavors of blackberry, black plum and black cherry in the mouth. It's not perfectly harmonious in the midpalate but there's a fair bit of acidity in the finish that makes it refreshing.",9.0,Ukraine,Koblevo NV Reserve Merlot (Ukraine),Merlot,Koblevo
Bulgaria,"This wine has a bouquet of red raspberry, black cherry and ripe plum. Lively flavors of Turkish cherry juice, vanilla and toffee coexist in a satisfying balance that is bolstered by a framework of feather-light tannins.",12.0,Thracian Valley,Katarzyna 2013 Mezzek Mavrud (Thracian Valley),Mavrud,Katarzyna
Bulgaria,"This 100% Cabernet Sauvignon is garnet colored with a violet rim. It has aromas of pomegranate, dried black cherry and freshly ground black pepper. It's well structured, with fine tannins and flavors of ripe cherry, tart cranberry and juicy pomegranate.",10.0,Thracian Valley,Bulgariana 2011 Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Bulgariana
Bulgaria,"Enticing aromas of pineapple, orange zest, just-picked apricot and freesia lead the way for clean flavors of tangerine, yellow peach and freshly sliced pineapple on the palate. It's fruit forward, with great minerality.",14.0,Danube River Plains,Chateau Burgozone 2012 Viognier (Danube River Plains),Viognier,Chateau Burgozone
Croatia,"This has aromas of Bartlett pear and black Mission figs. In the mouth, there are flavors of pear, lemon and fresh picked apricots.",20.0,Hvar,Zlatan Otok 2012 Vrhunsko Bijelo Vino Posip (Hvar),Posip,Zlatan Otok
Slovenia,"Impeccably refreshing, this Ribolla Gialla is full of sweet, fresh apple and melon flavors. Chalky minerality and a shower of lemon-lime acidity add nerve and elegance.",16.0,Brda,Bastianich 2010 Adriatico Ribolla Ribolla Gialla (Brda),Ribolla Gialla,Bastianich
Slovenia,"This brilliant straw colored Chardonnay has aromas of lemon blossoms and green apples. On the palate, it's smooth and clean with flavors of lemon curd and baked apple.",17.0,Štajerska,Sanctum 2011 Chardonnay (Štajerska),Chardonnay,Sanctum
Bulgaria,"This Chardonnay breaks away from the typical varietal profile, with aromas of freshly cut grass and lemongrass. Delightful tropical fruit flavors of mango, lychee and guava dominate the palate. The zesty, clean and crisp finish is characterized by flavors of lemon pith and lime juice.",14.0,Danube River Plains,Chateau Burgozone 2012 Chardonnay (Danube River Plains),Chardonnay,Chateau Burgozone
Bulgaria,"Big boned and brawny, this is a lushly textured wine full of intensely ripe black plum and cherry flavors. It's richly fruity, but textured with velvety tannins, crushed granite notes and a hit of acidity that lingers on the finish. A blend of Bulgarian and international grape varieties.",17.0,Thracian Valley,Castra Rubra 2008 Via Diagonalis Red (Thracian Valley),Red Blend,Castra Rubra
Bulgaria,"A blend of 51% Viognier and 49% Traminer, this wine is made with organic grapes. It has aromas of jasmine and guava flowers and lush tropical flavors of mango and freshly cut guava.",16.0,Thracian Valley,Edoardo Miroglio 2015 Bio Viognier And Traminer Made With Organic Grapes White (Thracian Valley),White Blend,Edoardo Miroglio
Croatia,"Aeration is key to deciphering the layers of barnyard, leather, earth and tannin that dominate the attack of this brawny, bold wine. With time, a multitude of delicate red-fruit, flower and hay notes unfold, contributing a feminine flair that's elegantly appealing.",25.0,Peljesac,Frano Milos 2008 Plavac Mali (Peljesac),Plavac Mali,Frano Milos
Croatia,"The rose petal aromas on this heady, ruby-hued dessert Muškat Ruža, or Muscat Rosé wine, are so pronounced, it's almost overwhelming, but  provide a rare and intriguing experience nonetheless. Semisweet in style, the wine is rich and full bodied, dripping with rose petal jam, black cherry pie filling and a musky, dusty rose perfume that trails from start to finish.",15.0,Istria,Agrolaguna 2009 Muškat Ruža Muscat (Istria),Muscat,Agrolaguna
Bulgaria,"This wine has aromas of cherry cola and freshly picked cherries. In the mouth there are flavors of tart cherry and black raspberry, with balanced tannins and a long finish.",14.0,Thracian Valley,Manastira 2015 Just Young Mavrud (Thracian Valley),Mavrud,Manastira
Croatia,"Pleasant whiffs of eucalyptus help to lift aromas of bright cherry, red plum and red raspberry. Zesty acidity on the tongue leads to a fruit-packed finish.",16.0,North Dalmatia,Piližota 2011 Babić (North Dalmatia),Babić,Piližota
Croatia,"Forest floor, mushroom and dried red cherry lead the bouquet, with a lift of eucalyptus in the background. Fresh cherry and raspberry flavors unfold on the palate, with bright acidity in the finale.",39.0,North Dalmatia,Suha Punta 2009 Tirada Babić (North Dalmatia),Babić,Suha Punta
Slovenia,"This red blend is comprised of 80% Merlot, 10% Cabernet Sauvignon and 10% Cabernet Franc. It has aromas of perfumed violet talc and red raspberry. Flavors of cherry vanilla and tart pomegranate partner with fine tannins, finishing with a nice splash of fruit acidity.",60.0,Goriska Brda,Edi Simcic 2011 Duet Lex Red (Goriska Brda),Bordeaux-style Red Blend,Edi Simcic
Slovenia,"This is a delightfully curious, multifaceted wine that's penetrating with flavors of dried fig, black tea, honey and smoke. A savory wet clay note is interspersed with a note of sweet spice, plus tea-leaf tannins that linger long on the finish.",90.0,Goriska Brda,Kabaj 2006 Amfora White (Goriska Brda),White Blend,Kabaj
Ukraine,This nonvintage red dessert wine is made from Bastardo grapes. It is garnet in color with aromas of sweet cherry syrup and raspberry preserves. It has flavors of soda fountain cola spiked with cherry juice and cassis. It is delightfully sweet with a touch of acidity in the finish.,9.0,Ukraine,Koblevo NV Kagor Reserve Bastardo (Ukraine),Bastardo,Koblevo
Slovenia,"Amber gold in the glass, this Ribolla Gialla has aromas of wet river rocks, vanilla bean and honeycomb. It has a luscious mouthfeel with pronounced minerality and flavors of apricot, apple and ripe pear.",40.0,Goriska Brda,Ferdinand 2009 Brutus Ribolla Gialla (Goriska Brda),Ribolla Gialla,Ferdinand
Bulgaria,"This Bulgarian Mavrud presents the nose with suggestions of dried cherry, black plum, freshly ground black pepper and a whiff of eucalyptus. In the mouth it is balanced with soft tannins mingling with dried cherry, cassis and black plum.",15.0,Bulgaria,Villa Melnik 2012 Bergulé Mavrud (Bulgaria),Mavrud,Villa Melnik
Ukraine,"This has aromas of white flowers, especially honeysuckle, and flavors of lemon custard, guava and lemon rind. The finish is rounded yet crisp.",9.0,Ukraine,Koblevo NV Reserve Riesling (Ukraine),Riesling,Koblevo
Czech Republic,"Wispy hints of stonefruit and clementine mingle with savory notes of nettle and dried herb on this characteristically grassy, brisk Sauvignon Blanc. The palate is delicately flavored, with a dusty mineral note that lingers.",16.0,Moravia,Vino z Czech 2011 Sauvignon Blanc (Moravia),Sauvignon Blanc,Vino z Czech
Croatia,"While just a touch ripe on the nose, this rosé is wonderfully dry with a bright red plum and cherry compote palate accented by deep, stony minerality. Full bodied, yet pleasantly astringent on the finish, it's the perfect accompaniment to seafood.",21.0,Peljesac,Korta Katarina 2009 Plavac Mali-Zinfandel Rosé (Peljesac),Rosé,Korta Katarina
Bulgaria,This Bulgarian Syrah has aromas of black raspberry and black cherry with tastes of cherry vanilla and cherry cola in the mouth. The finish is smooth with velvety tannins.,24.0,Thracian Valley,Ivo Varbanov 2011 Feux d'artifice Syrah (Thracian Valley),Syrah,Ivo Varbanov
Bulgaria,"Earthy on the nose and palate, with prominent mushroom and smoke notes, this is a massively tannic wine, with a hefty serving of pulpy black-fruit flavor. It is full-bodied, with a bit of heat on the finish.",16.0,Thracian Valley,Domaine Boyar 2007 Royal Reserve Mavrud (Thracian Valley),Mavrud,Domaine Boyar
Bulgaria,"Aromatic, with notes of orange blossom and lemon zest, this dry, bracing Chardonnay boasts surprising depth and minerality. Vibrant with lemony acidity, it finishes briskly, with a hint of lime-zest-like astringency.",9.0,Thracian Valley,Vini 2011 Veni Vidi Vici Chardonnay (Thracian Valley),Chardonnay,Vini
Bulgaria,"Fresh and floral, this is abundantly fragrant with notes of sweet cherry blossom and freshly cut herb. The palate is crisp and dry, with zesty hints of underripe stone fruit and lemon. Brisk and clean on the finish.",10.0,Black Sea Coastal,Targovishte 2011 Premium Quality Dry Muskat Ottonel (Black Sea Coastal),Muskat Ottonel,Targovishte
Bosnia and Herzegovina,"A mix of red and black fruits pervade on the nose, with hints of roasted coffee beans bringing nuance. Flavors of black plum and freshly ground espresso dominate the palate.",12.0,Mostar,Winery Čitluk 2011 Blatina (Mostar),Blatina,Winery Čitluk
Slovenia,This sparkling Riesling smells of canned yellow peaches and apricots. It is effervescent on entry with flavors of white peach nectar and white flowers. There is a slight sweetness in the finish.,36.0,Slovenia,Vino Kupljen NV Tradition Rizling Brut Riesling (Slovenia),Riesling,Vino Kupljen
Slovenia,"This wine has aromas of freshly mowed grass, peaches and white flowers. It is slightly sweet with flavors of canned peach, white peach juice and apricot nectar.",11.0,Štajerska,Puklavec & Friends 2013 Moscato (Štajerska),Moscato,Puklavec & Friends
Bulgaria,"This Viognier from the Danube Plain has aromas of yellow peach, freshly sliced apricot and jasmine flowers. In the mouth it is balanced with flavors of apricot and peach. The finish is pleasantly acidic and slightly perfumed.",16.0,Danube River Plains,Chateau Burgozone 2015 Côte de Danube Viognier (Danube River Plains),Viognier,Chateau Burgozone
Bulgaria,"Hailing from the Danube Plain, this Bulgarian Chardonnay has aromas of citrus blossom and lemon curd that pave the way to zesty flavors of lemon and green apple in the mouth.",20.0,Danube River Plains,Domaine Boyar 2015 Quantum Chardonnay (Danube River Plains),Chardonnay,Domaine Boyar
Bulgaria,"This straw-colored Chardonnay has aromas of anise, fennel, ripe fig and vanilla that lead you to a fruit-filled palate of rich apricot and white peach. There's nice balance in the midpalate with a generous level of acidity in the finish.",16.0,Thracian Valley,F2F 2015 Chardonnay (Thracian Valley),Chardonnay,F2F
Slovenia,"This Riesling from Slovenia is a bit perfumed on the nose with an abundance of white blossoms, baby powder and pink grapefruit aromas, but there's a pleasant, citrusy sweetness and acidity throughout. Medium bodied, it finishes quite dry with a gentle white tea astringency.",20.0,Štajerska,Verus Vineyards 2009 Riesling (Štajerska),Riesling,Verus Vineyards
Bulgaria,"This wine has aromas of black plum and black raspberry, with flavors of tart cherry and ripe plum on the palate. The tannins have a bit of grip and the finish is persistent.",12.0,Thracian Valley,Domaine Boyar 2015 Reserve Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Domaine Boyar
Bulgaria,"This Chardonnay has vanilla, lemon blossom and peach aromas. Lemon curd and green apple flavors come through on the palate before a pleasantly acidic finish.",16.0,Thracian Valley,Manastira 2016 Riverside Chardonnay (Thracian Valley),Chardonnay,Manastira
Bulgaria,"Salmon pink in color, this rosé has aromas of jasmine and dried rosemary. It is savory and acid-driven on the palate, with a pleasantly astringent finish.",16.0,Thracian Valley,Manastira 2016 Ilaya Rosé (Thracian Valley),Rosé,Manastira
Slovenia,"This Slovenian Ribolla Gialla has aromas of peach and vanilla, with flavors of freshly baked peach pie, canned apricots and green apple. It is soft on entry, rounded in the mouth and shows good minerality on the finish.",15.0,Goriska Brda,Colliano 2013 Estate Bottled Ribolla Gialla (Goriska Brda),Ribolla Gialla,Colliano
Ukraine,"The nose is a tad dusty, with hints of unripe fruit and leaves, but the palate on this brut sparkling is clean and lemony, with a sharp, steely profile. Aggressive on the attack, with a stark, brisk acidity, it finishes with abundantly mouth-filling froth.",13.0,Ukraine,Artemovsk 2008 KrimSekt White Collection Brut Sparkling (Ukraine),Sparkling Blend,Artemovsk
Bulgaria,"The result of a joint project between Michel Rolland and Jair Agopian, this Bulgarian Bordeaux-style blend has primary aromas of ripe blackberry, dark cherry and black plum that give way to intriguing secondary notes of saddle leather, tobacco leaf and graphite. It exhibits nice weight on the midpalate with juicy flavors of cassis, black raspberry and cherry vanilla. The tannins are firm yet velvety and there is a surprising burst of bright fruit in the finish.",25.0,Thracian Valley,Castra Rubra 2011 Butterfly's Rock Red (Thracian Valley),Bordeaux-style Red Blend,Castra Rubra
Croatia,"High-toned notes of bruised apples and fresh figs waft from this dry, medium-bodied Croatian Malvasia. Savory in profile, the palate is tinged with hints of tinned apple juice concentrate.",16.0,Istria,Piquentum 2009 Malvoisie Malvasia (Istria),Malvasia,Piquentum
Slovenia,"Golden yellow in color, this Slovenian wine made from the Ribolla Gialla grape shows pretty apple and pear notes, but a distinctly savory profile as well, with hints of smoke, toasted hazelnut skins and oxidization.",15.0,Brda,Bastianich 2009 Adriatico Ribolla Gialla (Brda),Ribolla Gialla,Bastianich
Croatia,Aromas of superripe red fruit and charred wood match the soft mocha and red fruit flavors on this Croatian red made from the Teran grape. Finishes a bit sour with mouth-puckering acidity and tannins.,18.0,Istria,Piquentum 2008 Teranum Teran (Istria),Teran,Piquentum
Bulgaria,"Confected and soapy with exuberant baby powder and floral tones, this dry, medium-bodied Bulgarian Muskat Ottonel is an uneven, craggy wine with shriekingly high acidity.",9.0,Bulgaria,Targovishte 2009 Muskat Ottonel (Bulgaria),Muskat Ottonel,Targovishte
Bulgaria,"Lush, jammy black fruit fills the palate on this dense, boldly structured blend of Bulgarian Rubin and Merlot grapes. It's undeniably juicy and forward, but balanced by a streak of sharp acidity and soft, chalky tannins that linger.",15.0,Thracian Valley,Castra Rubra 2009 Pendar Red (Thracian Valley),Red Blend,Castra Rubra
Slovenia,"Light amber in color, this five year old Sauvignon Blanc has aromas of caramelized pear and grilled pineapple. This style of wine pairs perfectly with strong, earthy cheeses.",29.0,Vipavska Dolina,Batič 2009 Sauvignon (Vipavska Dolina),Sauvignon,Batič
Bulgaria,"This wine offers fragrances of vanilla, cherry and cherry cola. A fruity palate of cherry and black plums is backed by soft notes of vanilla and a core of satiny tannins.",15.0,Thracian Valley,Bessa 2010 Enira Red (Thracian Valley),Red Blend,Bessa
Bulgaria,"A sophisticated nose of end-of-season cherry with a soft touch of petrol barely prepares the palate for robust flavors of blackberry, brambles and cured meat with medium-weight tannins and a smoky finish.",13.0,Thracian Valley,Bessa 2010 Petit Enira Merlot (Thracian Valley),Merlot,Bessa
Bulgaria,"Rich aromas of boysenberry, cranberry, pipe tobacco and dark chocolate prepare the palate for flavors of cherry syrup and pomegranate. Soft but persistent tannins are apparent in the mouth, and the finish offers lingering flavors of dark chocolate and coffee.",11.0,Thracian Valley,K Cellars 2011 Pinot Noir (Thracian Valley),Pinot Noir,K Cellars
Bulgaria,"Aromas of black raspberry, dried cherry, espresso and smoked meat set the scene for mouth-pleasing flavors of black cherry, blackberry and tobacco leaf. Harmonious levels of tannins and acidity linger on the tongue at the conclusion of the juicy, fruit-filled finish.",14.0,Thracian Valley,K Cellars 2011 Red (Thracian Valley),Red Blend,K Cellars
Bulgaria,"Garnet colored in the glass, this wine has a bouquet of cherry that is heightened by a striking note of bell pepper. It offers flavors of cranberry and pomegranate that meld into a zesty but persistent finish.",11.0,Thracian Valley,K Cellars 2012 Merlot (Thracian Valley),Merlot,K Cellars
Bulgaria,"The color of slightly faded garnet, this wine has a nose of red and black cherry.The flavor of fresh cherry continues in the mouth, supported by the spicy taste of cinnamon. There is a nice note of brightness on the fruit-filled finish.",15.0,Danube River Plains,Quadratus 2011 Pinot Noir (Danube River Plains),Pinot Noir,Quadratus
Czech Republic,"This dry Riesling offers rich floral aromas of lilies and freesia. Soft floral notes continue on the palate, where they are joined by stronger flavors of citrus, honey and roasted hazelnut.",15.0,Moravia,Vino z Czech 2013 Michlovský Riesling (Moravia),Riesling,Vino z Czech
Czech Republic,"Made with 100% Cabernet Moravia (an indigenous crossing of Cabernet Franc and Zweigelt) this wine has an interesting bouquet of ripe red fruits marked by eucalyptus and a heavy vegetal note. Fruit flavors, especially dark plum, shine through on the palate, while greener herbal notes make their presence known on the invigorating finish.",18.0,Moravia,Vino z Czech 2009 Ludwig Cabernet Moravia (Moravia),Cabernet Moravia,Vino z Czech
Czech Republic,"On the nose, spice outweighs fruit, with notes of clove and cinnamon backed by a touch of cherry. On the palate, the tables are turned, with black plum and cherry flavors playing host to a soft touch of baking spice that is most evident on the soft finish.",15.0,Moravia,Vino z Czech 2013 Znovín Znojmo St. Laurent (Moravia),St. Laurent,Vino z Czech
Bulgaria,"Aromas of vanilla, black cherry, toasted coconut and graphite give little insight into a flavor profile that is dominated by ripe cherry and red raspberry. Fruit flavors reign strong, with just a touch of toasty spice on the bright finish.",15.0,Thracian Valley,Quadratus 2011 Merlot (Thracian Valley),Merlot,Quadratus
Serbia,"This Serbian 100% Portuguiser offers scents of dried cherry, dried herbs and fresh tarragon, and follows up with tastes of red plum and dried strawberry.",15.0,Fruška Gora,Agrina 2014 Portuguiser (Fruška Gora),Portuguiser,Agrina
Ukraine,This has aromas of citrus blossom and lemon pith. There are flavors of green apple and pear in the mouth with an acidic finish.,9.0,Ukraine,Koblevo NV Reserve Chardonnay (Ukraine),Chardonnay,Koblevo
Bulgaria,"This garnet-colored wine has aromas of black fruits, black plums and violets. Flavors of tobacco leaf, cherry vanilla and cinnamon wash over the palate before the long finish.",12.0,Thracian Valley,Villa Yambol 2013 Reserve Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Villa Yambol
Bulgaria,"This garnet-red-colored wine has aromas of red summer fruits, especially red raspberry, and flavors of cherry and blackberry. The tannins are soft and fine and there's a bit of an astringent finish.",11.0,Danube River Plains,Bulgariana 2015 Gamza (Danube River Plains),Gamza,Bulgariana
Croatia,"Tart sour-cherry and preserved plum flavors add freshness to this bold, spicy blend of three Croatian grape varieties. Ruddy hints of chocolate, hay and leather combine with bold tannins on the midpalate, driving the finish that's surprisingly delicate and chalky.",19.0,North Dalmatia,Bibich 2009 R6 Riserva Red (North Dalmatia),Red Blend,Bibich
Bulgaria,"Aromas of sweet honey and caramelized sugar on this Bulgarian Riesling belie a palate that's crisp, dry and bristling with acidity. Fresh lemon and apple flavors lack concentration but finish briskly with a hint of dusty minerality.",9.0,Black Sea Coastal,Targovishte 2011 Premium Quality Dry Riesling (Black Sea Coastal),Riesling,Targovishte
Macedonia,"Lavender and ripe black-cherry aromas are enticing on this Pinot Noir. Dry and full bodied, it doesn't have a lot of concentration, but it's softly fruity, with hints of soil and autumn leaf.",15.0,Tikves,Macedon 2010 Pinot Noir (Tikves),Pinot Noir,Macedon
Ukraine,This wine has aromas of pomegranate and black plum. It conveys flavors of cranberry and black raspberry. The finish is short-lived yet pleasantly acidic.,6.0,Ukraine,Côtnar Hills 2014 Cabernet Sauvignon (Ukraine),Cabernet Sauvignon,Côtnar Hills
Bulgaria,"This dark cherry-red wine has aromas of red plums and dried black plums that flow to the palate. An easy drinking wine, with pleasantly tart cherry flavors.",10.0,Thracian Valley,Vini 2012 Veni Vidi Vici Pinot Noir (Thracian Valley),Pinot Noir,Vini
Croatia,"Light yellow in color, this has heady aromas of elderflower, white lemon blossom and freshly picked basil. There are touches of vanilla and honeycomb on the palate, with fresh stone fruit flavors. It's well-balanced, with an energetic acidic finish.",16.0,Krk,Katunar 2012 Kvalitetno Vino Vinogorje Zlahtina (Krk),Zlahtina,Katunar
Slovenia,Aromas of white flowers and ripe banana lead the way to flavors of tart green apple and melon. The finish is pleasant but slightly acidic.,7.0,Primorska,Avia 2014 Hand Harvested Estate Bottled Pinot Grigio (Primorska),Pinot Grigio,Avia
Slovenia,"This blend of 40% Furmint, 40% Pinot Gris and 20% Riesling has aromas of pineapple, lychee fruit and fresh herbs. It's thin and racy in the mouth with flavors of mango, apple and guava.",18.0,Štajerska,Dveri-Pax 2014 Yanez White (Štajerska),White Blend,Dveri-Pax
Serbia,"This 100% Tamjanika from Serbia has gooseberry, mango and white flowers leading the nose. Following that, it is soft on entry with flavors of pronounced florality, white peach and yellow peach.",18.0,Župa,Budimir 2013 Župska Tamjanika (Župa),Tamjanika,Budimir
Slovenia,"Medium straw in color, this wine has aromas of caramelized pineapple and Banana's Foster. It conveys flavors of tart apple cider and freshly sliced Honeycrisp apple. The finish is pleasantly acidic, with a bright splash of acidity in the post palate.",25.0,Goriska Brda,Edi Simcic 2014 Rebula (Goriska Brda),Rebula,Edi Simcic
